State,Year,Category,SubCat,Value
Florida,2014,TotalIncome,Income,28311.22433
Florida,2014,Expenditure,Income Tax,3413.765976
Florida,2014,Expenditure,Other,1661.686646
Florida,2014,HP,Housing Prices,209899.6093
Florida,2015,TotalIncome,Income,26947.81678
Florida,2015,Expenditure,Income Tax,3230.268429
Florida,2015,Expenditure,Other,1384.248163
Florida,2015,HP,Housing Prices,221838.2096
Florida,2016,TotalIncome,Income,28276.42236
Florida,2016,Expenditure,Income Tax,3490.328797
Florida,2016,Expenditure,Other,1652.425638
Florida,2016,HP,Housing Prices,228892.2448
Florida,2017,TotalIncome,Income,29408.52479
Florida,2017,Expenditure,Income Tax,3312.181434
Florida,2017,Expenditure,Other,1665.101528
Florida,2017,HP,Housing Prices,240793.7095
Florida,2018,TotalIncome,Income,30551.17343
Florida,2018,Expenditure,Income Tax,3523.217062
Florida,2018,Expenditure,Other,1597.229162
Florida,2018,HP,Housing Prices,259043.9756
Florida,2019,TotalIncome,Income,32054.61224
Florida,2019,Expenditure,Income Tax,8339.160297
Florida,2019,Expenditure,Other,2430.804824
Florida,2019,HP,Housing Prices,283050.9245
Florida,2020,TotalIncome,Income,35557.75156
Florida,2020,Expenditure,Income Tax,9934.945671
Florida,2020,Expenditure,Other,2341.758772
Florida,2020,HP,Housing Prices,285506.8719
Florida,2021,TotalIncome,Income,33284.06722
Florida,2021,Expenditure,Income Tax,3876.675026
Florida,2021,Expenditure,Other,2387.277404
Florida,2021,HP,Housing Prices,302776.4032
Georgia,2012,TotalIncome,Income,24532.90405
Georgia,2012,Expenditure,Income Tax,3458.122181
Georgia,2012,Expenditure,Other,1289.525541
Georgia,2012,HP,Housing Prices,195683.6016
Georgia,2013,TotalIncome,Income,24754.72315
Georgia,2013,Expenditure,Income Tax,3194.687726
Georgia,2013,Expenditure,Other,1337.844991
Georgia,2013,HP,Housing Prices,171380.6365
Georgia,2014,TotalIncome,Income,28026.45159
Georgia,2014,Expenditure,Income Tax,4435.903179
Georgia,2014,Expenditure,Other,1472.933526
Georgia,2014,HP,Housing Prices,183738.0751
Georgia,2015,TotalIncome,Income,26600.76701
Georgia,2015,Expenditure,Income Tax,3919.75614
Georgia,2015,Expenditure,Other,1386.287764
Georgia,2015,HP,Housing Prices,183688.432
Georgia,2016,TotalIncome,Income,25890.34683
Georgia,2016,Expenditure,Income Tax,3931.248144
Georgia,2016,Expenditure,Other,1366.339641
Georgia,2016,HP,Housing Prices,185122.9288
Georgia,2017,TotalIncome,Income,28871.59172
Georgia,2017,Expenditure,Income Tax,4400.236784
Georgia,2017,Expenditure,Other,1464.324239
Georgia,2017,HP,Housing Prices,197036.5527
Georgia,2018,TotalIncome,Income,30050.10667
Georgia,2018,Expenditure,Income Tax,4509.646905
Georgia,2018,Expenditure,Other,1510.025
Georgia,2018,HP,Housing Prices,218474.5424
Georgia,2019,TotalIncome,Income,30625.06686
Georgia,2019,Expenditure,Income Tax,12194.16018
Georgia,2019,Expenditure,Other,2325.176096
Georgia,2019,HP,Housing Prices,236850.7692
Georgia,2020,TotalIncome,Income,33140.76411
Georgia,2020,Expenditure,Income Tax,14493.86674
Georgia,2020,Expenditure,Other,2538.92685
Georgia,2020,HP,Housing Prices,240783.119
Georgia,2021,TotalIncome,Income,33656.83968
Georgia,2021,Expenditure,Income Tax,9073.820254
Georgia,2021,Expenditure,Other,2090.441854
Georgia,2021,HP,Housing Prices,260211.0574
Hawaii,2012,TotalIncome,Income,28084.94275
Hawaii,2012,Expenditure,Income Tax,4475.003595
Hawaii,2012,Expenditure,Other,978.5099558
Hawaii,2012,HP,Housing Prices,471130.3221
Hawaii,2013,TotalIncome,Income,27012.61903
Hawaii,2013,Expenditure,Income Tax,4012.446875
Hawaii,2013,Expenditure,Other,1103.45
Hawaii,2013,HP,Housing Prices,441688.9995
Hawaii,2014,TotalIncome,Income,28997.54975
Hawaii,2014,Expenditure,Income Tax,4257.937811
Hawaii,2014,Expenditure,Other,1276.382255
Hawaii,2014,HP,Housing Prices,460349.4828
Hawaii,2015,TotalIncome,Income,30621.89039
Hawaii,2015,Expenditure,Income Tax,4700.955451
Hawaii,2015,Expenditure,Other,1472.983587
Hawaii,2015,HP,Housing Prices,452122.949
Hawaii,2016,TotalIncome,Income,31186.65702
Hawaii,2016,Expenditure,Income Tax,5214.00225
Hawaii,2016,Expenditure,Other,1255.120219
