State,Year,Category,SubCat,Value
Hawaii,2013,HP,Housing Prices,441688.9995
Hawaii,2014,TotalIncome,Income,40711.34459
Hawaii,2014,Expenditure,Income Tax,10029.43945
Hawaii,2014,Expenditure,Other,1506.181018
Hawaii,2014,HP,Housing Prices,460349.4828
Hawaii,2015,TotalIncome,Income,42558.81466
Hawaii,2015,Expenditure,Income Tax,10911.33333
Hawaii,2015,Expenditure,Other,1719.993155
Hawaii,2015,HP,Housing Prices,452122.949
Hawaii,2016,TotalIncome,Income,44281.9215
Hawaii,2016,Expenditure,Income Tax,12051.08544
Hawaii,2016,Expenditure,Other,1505.853837
Hawaii,2016,HP,Housing Prices,467506.4013
Hawaii,2017,TotalIncome,Income,46050.81941
Hawaii,2017,Expenditure,Income Tax,12140.71458
Hawaii,2017,Expenditure,Other,1479.740971
Hawaii,2017,HP,Housing Prices,527991.0216
Hawaii,2018,TotalIncome,Income,49624.50874
Hawaii,2018,Expenditure,Income Tax,13723.74115
Hawaii,2018,Expenditure,Other,1439.621087
Hawaii,2018,HP,Housing Prices,535739.6166
Hawaii,2019,TotalIncome,Income,52790.33539
Hawaii,2019,Expenditure,Income Tax,22515.93952
Hawaii,2019,Expenditure,Other,2877.23243
Hawaii,2019,HP,Housing Prices,678083.3061
Hawaii,2020,TotalIncome,Income,51773.13274
Hawaii,2020,Expenditure,Income Tax,20130.39661
Hawaii,2020,Expenditure,Other,2634.390387
Hawaii,2020,HP,Housing Prices,654839.2871
Hawaii,2021,TotalIncome,Income,50406.78347
Hawaii,2021,Expenditure,Income Tax,11576.43942
Hawaii,2021,Expenditure,Other,2583.587563
Hawaii,2021,HP,Housing Prices,719221.6155
Idaho,2012,TotalIncome,Income,33210.97551
Idaho,2012,Expenditure,Income Tax,6054.893395
Idaho,2012,Expenditure,Other,1954.886709
Idaho,2012,HP,Housing Prices,190744.4423
Idaho,2013,TotalIncome,Income,35647.23592
Idaho,2013,Expenditure,Income Tax,6859.678788
Idaho,2013,Expenditure,Other,1716.839532
Idaho,2013,HP,Housing Prices,185215.0138
Idaho,2014,TotalIncome,Income,35726.6967
Idaho,2014,Expenditure,Income Tax,7294.022472
Idaho,2014,Expenditure,Other,1876.631659
Idaho,2014,HP,Housing Prices,176075.4717
Idaho,2015,TotalIncome,Income,39823.70656
Idaho,2015,Expenditure,Income Tax,9838.949855
Idaho,2015,Expenditure,Other,1908.83363
Idaho,2015,HP,Housing Prices,192918.9501
Idaho,2016,TotalIncome,Income,40346.5132
Idaho,2016,Expenditure,Income Tax,10246.81425
Idaho,2016,Expenditure,Other,1922.911066
Idaho,2016,HP,Housing Prices,205489.4936
Idaho,2017,TotalIncome,Income,40912.19502
Idaho,2017,Expenditure,Income Tax,9773.655694
Idaho,2017,Expenditure,Other,2518.256788
Idaho,2017,HP,Housing Prices,207430.0268
Idaho,2018,TotalIncome,Income,42609.64753
Idaho,2018,Expenditure,Income Tax,9969.707452
Idaho,2018,Expenditure,Other,2106.658467
Idaho,2018,HP,Housing Prices,222602.3688
Idaho,2019,TotalIncome,Income,42846.73998
Idaho,2019,Expenditure,Income Tax,10196.85129
Idaho,2019,Expenditure,Other,2947.262956
Idaho,2019,HP,Housing Prices,297995.7329
Idaho,2020,TotalIncome,Income,50534.9627
Idaho,2020,Expenditure,Income Tax,13844.84229
Idaho,2020,Expenditure,Other,3444.316268
Idaho,2020,HP,Housing Prices,320971.6665
Idaho,2021,TotalIncome,Income,47217.3257
Idaho,2021,Expenditure,Income Tax,6320.346271
Idaho,2021,Expenditure,Other,3207.570251
Idaho,2021,HP,Housing Prices,381391.0515
Illinois,2012,TotalIncome,Income,41444.16008
Illinois,2012,Expenditure,Income Tax,10200.74202
Illinois,2012,Expenditure,Other,1613.111962
Illinois,2012,HP,Housing Prices,229865.4815
Illinois,2013,TotalIncome,Income,44795.59314
Illinois,2013,Expenditure,Income Tax,11388.4605
Illinois,2013,Expenditure,Other,1749.257006
Illinois,2013,HP,Housing Prices,219742.0092
Illinois,2014,TotalIncome,Income,46367.18901
Illinois,2014,Expenditure,Income Tax,13483.20213
Illinois,2014,Expenditure,Other,1813.995053
Illinois,2014,HP,Housing Prices,213889.6799
Illinois,2015,TotalIncome,Income,44856.04543
Illinois,2015,Expenditure,Income Tax,11891.92026
Illinois,2015,Expenditure,Other,1918.904506
Illinois,2015,HP,Housing Prices,233344.8242
Illinois,2016,TotalIncome,Income,48269.94958
Illinois,2016,Expenditure,Income Tax,13478.03915
Illinois,2016,Expenditure,Other,1981.08666
Illinois,2016,HP,Housing Prices,238012.4378
Illinois,2017,TotalIncome,Income,49018.7155
Illinois,2017,Expenditure,Income Tax,12638.28246
Illinois,2017,Expenditure,Other,2140.722568
Illinois,2017,HP,Housing Prices,244207.1007
Illinois,2018,TotalIncome,Income,52047.37075
Illinois,2018,Expenditure,Income Tax,14309.3757
Illinois,2018,Expenditure,Other,2257.601927
Illinois,2018,HP,Housing Prices,252204.7457
Illinois,2019,TotalIncome,Income,53803.27582
Illinois,2019,Expenditure,Income Tax,19067.4567
Illinois,2019,Expenditure,Other,3537.241829
Illinois,2019,HP,Housing Prices,267459.6886
Illinois,2020,TotalIncome,Income,58148.34149
Illinois,2020,Expenditure,Income Tax,21257.32594
Illinois,2020,Expenditure,Other,3441.839193
Illinois,2020,HP,Housing Prices,271326.975
Illinois,2021,TotalIncome,Income,59445.73473
Illinois,2021,Expenditure,Income Tax,18122.49225
Illinois,2021,Expenditure,Other,3923.50418
Illinois,2021,HP,Housing Prices,291029.7675
Indiana,2012,TotalIncome,Income,38698.74313
Indiana,2012,Expenditure,Income Tax,8792.022648
Indiana,2012,Expenditure,Other,1827.192771
